facility_id,facility_name,region,district,facility_type,latitude,longitude,procedures_free_text,equipment_free_text,specialties_free_text,staff_count,bed_capacity,emergency_services
FAC001,Korle Bu Teaching Hospital,Greater Accra,Accra Metro,Teaching Hospital,5.5387,-0.2270,"Advanced cardiac surgery including bypass and valve replacement. Neurosurgery with full ICU support. Organ transplantation (kidney, liver). Complex orthopedic procedures. We perform approximately 200 cardiac surgeries annually.","3 Tesla MRI scanner, 128-slice CT scanner, Cardiac catheterization lab with 2 cath labs, 4 operating theaters with robotic surgery capability, Full NICU with 30 ventilators, Digital mammography, PET-CT scanner","Cardiothoracic surgery, Neurosurgery, Nephrology with dialysis (40 machines), Oncology with radiation therapy, Pediatric intensive care, Transplant surgery",2800,2000,Yes
FAC002,Tamale Teaching Hospital,Northern,Tamale Metro,Teaching Hospital,9.4034,-0.8424,"General surgery, Cesarean sections, Basic orthopedics including fracture management. Emergency trauma care. We handle about 150 major surgeries monthly.","2 operating rooms, X-ray machine (frequently broken), Ultrasound (1 unit working), Laboratory with basic testing, Oxygen supply system (unreliable), 1 ventilator in ER","General surgery, Obstetrics & Gynecology, Internal medicine, Pediatrics, Emergency medicine",450,400,Yes
FAC003,St. Michael's Hospital,Ashanti,Kumasi Metro,Regional Hospital,6.6885,-1.6244,"Obstetric care with C-sections, Appendectomies, Hernia repairs, Basic laparoscopic surgery. Pediatric surgery for common conditions. Average 80 surgeries per month.","2 operating theaters, Ultrasound machine, X-ray, Basic lab equipment, 20 bed ICU with 4 ventilators, Autoclave sterilization, Endoscopy unit","General surgery, Obstetrics & Gynecology, Pediatrics, Internal medicine, Basic ENT",380,250,Yes
FAC004,Ridge Hospital,Greater Accra,Accra Metro,Regional Hospital,5.5893,-0.1958,"Routine obstetric deliveries, Minor surgical procedures, Wound care and suturing. We claim to do cardiac surgery but lack proper equipment.","Ultrasound (2 units), X-ray machine, Small laboratory, 1 operating room, Dental unit, Claims to have CT scanner (not verified)","Obstetrics, General practice, Dentistry, Claims cardiology department (no cardiologist on staff)",180,120,Limited
FAC005,Volta Regional Hospital,Volta,Ho Municipal,Regional Hospital,6.6007,0.4710,"General surgery, Emergency care, Cesarean sections, Basic orthopedics, Treatment of fractures and dislocations","Operating room, X-ray, Ultrasound, Laboratory, 10-bed emergency ward, Blood bank","General surgery, Obstetrics & Gynecology, Emergency medicine, Orthopedics",220,180,Yes
FAC006,Community Clinic - Bawku,Upper East,Bawku Municipal,District Hospital,11.0598,-0.2465,"Basic wound care, Normal deliveries, Referrals to regional hospitals for complex cases. We lack surgical capacity.","No advanced equipment. Basic examination tools, Manual BP monitors, Delivery bed, Solar-powered lights (frequent outages)","General practice, Basic maternal care (midwife-led), Vaccination services",12,15,No
FAC007,Cape Coast Teaching Hospital,Central,Cape Coast Metro,Teaching Hospital,5.1053,-1.2466,"Advanced obstetrics including high-risk pregnancies, General surgery, Neurosurgery (limited), Orthopedic surgery, Laparoscopic procedures","Operating theaters (3), CT scanner, X-ray, Ultrasound (4 units), MRI (broken for 6 months), Laboratory with blood culture, ICU with 12 beds","Neurosurgery, Orthopedics, Obstetrics & Gynecology, General surgery, Pathology",620,450,Yes
FAC008,Upper West Regional Hospital,Upper West,Wa Municipal,Regional Hospital,10.0601,-2.5095,"General surgery, Cesarean sections, Hernia repairs, Minor orthopedic procedures. No advanced surgical capabilities.","2 operating rooms, X-ray (old model), Ultrasound, Laboratory, Emergency room with oxygen, Claims advanced imaging but none present","General surgery, Obstetrics & Gynecology, Internal medicine, Pediatrics",145,100,Yes
FAC009,Sunyani Regional Hospital,Bono,Sunyani Municipal,Regional Hospital,7.3397,-2.3295,"General surgery, Obstetrics with C-sections, Appendectomies, Some orthopedic procedures, Emergency trauma stabilization","Operating theaters (2), Ultrasound (2 units), X-ray, Basic lab, Small blood bank, 8-bed ICU","General surgery, Obstetrics & Gynecology, Orthopedics, Emergency medicine, Pediatrics",290,200,Yes
FAC010,Military Hospital - Accra,Greater Accra,Accra Metro,Specialized Hospital,5.6037,-0.1870,"Advanced trauma surgery, Reconstructive surgery, Burns treatment, General surgery, Orthopedic surgery with joint replacement","Operating rooms (4), CT scanner, X-ray, Ultrasound (3 units), Advanced ICU (20 beds), Hyperbaric chamber, Physiotherapy unit","Trauma surgery, Orthopedics, Burns & plastic surgery, General surgery, Rehabilitation",420,280,Yes
FAC011,LEKMA Hospital,Greater Accra,Ledzokuku,District Hospital,5.6331,-0.0648,"Normal deliveries, Basic wound management, Outpatient care, Minor procedures. Referrals for anything complex.","Ultrasound (1), Basic lab, Examination rooms, Delivery room, No operating theater","General practice, Maternal care, Pediatric outpatient, Family medicine",45,40,Limited
FAC012,Catholic Hospital - Battor,Volta,North Tongu,Mission Hospital,5.9528,0.0876,"General surgery, Obstetrics including C-sections, Hernia repairs, Eye surgery (cataract), Cleft lip repairs during annual mission trips","Operating rooms (2), Ultrasound, X-ray, Laboratory, Small pharmacy, Eye clinic with equipment for cataract surgery","General surgery, Ophthalmology (visiting specialists), Obstetrics & Gynecology, Pediatrics",165,110,Yes
FAC013,Ga West Municipal Hospital,Greater Accra,Ga West,District Hospital,5.6789,-0.2891,"Basic surgery, Cesarean sections, Normal deliveries, Wound care, No specialized surgical services","Operating room (1), Ultrasound, X-ray (broken), Laboratory, Maternity ward","General practice, Obstetrics, Limited surgical services",78,60,Limited
FAC014,Manhyia District Hospital,Ashanti,Kumasi Metro,District Hospital,6.7045,-1.6113,"Normal deliveries, Minor surgical procedures, Outpatient services, Referrals to teaching hospital","Ultrasound, Basic lab, Examination rooms, Delivery beds, Claims surgical capacity (no surgeon on staff)","General practice, Obstetrics, Outpatient care",55,45,No
FAC015,Western Regional Hospital,Western,Sekondi-Takoradi,Regional Hospital,4.9333,-1.7667,"General surgery, Obstetrics & Gynecology, Cesarean sections, Hernia repairs, Appendectomies, Basic orthopedics","Operating theaters (2), CT scanner (installed 2023), X-ray, Ultrasound (3 units), Laboratory, ICU (15 beds), Blood bank","General surgery, Obstetrics & Gynecology, Internal medicine, Orthopedics, Radiology",340,240,Yes
FAC016,Nsawam Government Hospital,Eastern,Nsawam-Adoagyire,District Hospital,5.8082,-0.3524,"Basic surgical procedures, Normal deliveries, Cesarean sections, Wound management, Limited emergency care","Operating room (1), Ultrasound, X-ray, Laboratory, Maternity ward, Claims ICU (only 2 beds with no ventilators)","General surgery, Obstetrics, General practice, Limited emergency",95,70,Limited
FAC017,Kintampo Municipal Hospital,Bono East,Kintampo North,District Hospital,8.0548,-1.7310,"General surgery, Obstetrics, Normal deliveries, C-sections, Minor orthopedic care, Snake bite treatment (common in region)","Operating room (1), Ultrasound, X-ray, Laboratory, Blood bank, Emergency ward with oxygen","General surgery, Obstetrics & Gynecology, Emergency medicine, Snake bite treatment unit",115,80,Yes
FAC018,Akim Oda Government Hospital,Eastern,Birim Central,District Hospital,5.9307,-0.9833,"General surgery, Obstetrics, C-sections, Appendectomies, Limited pediatric surgery","Operating room (1), Ultrasound (broken), X-ray, Laboratory, Maternity ward","General surgery, Obstetrics, Pediatrics, General practice",68,55,Limited
FAC019,Holy Family Hospital,Greater Accra,Nungua,Mission Hospital,5.6003,-0.0833,"General surgery, Advanced obstetrics, Pediatric surgery, Laparoscopic surgery, Fertility treatments, IVF program","Operating theaters (3), Ultrasound (4 units), X-ray, CT scanner, Laboratory, IVF lab, NICU (15 beds), ICU (10 beds)","General surgery, Obstetrics & Gynecology with fertility, Pediatric surgery, Laparoscopic surgery, Reproductive medicine",285,160,Yes
FAC020,Nalerigu Baptist Medical Centre,North East,Nalerigu,Mission Hospital,10.5167,-0.3667,"General surgery, Obstetrics, Cesarean sections, Cleft surgeries, Orthopedic surgery, Eye surgery (seasonal teams)","Operating rooms (2), Ultrasound, X-ray, Laboratory, Blood bank, Solar power backup, Limited ICU capacity","General surgery, Obstetrics & Gynecology, Orthopedics, Ophthalmology (visiting), Pediatrics",178,95,Yes
